pygame 1.9.4
Hello from the pygame community. https://www.pygame.org/contribute.html
couldn't import doomish
Couldn't import doom
Beginning Training...
         673055 function calls (658794 primitive calls) in 39.166 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.081    0.081 pyparsing.py:61(<module>)
        1    0.000    0.000    0.079    0.079 __init__.py:7(<module>)
       18    0.000    0.000    0.078    0.004 __init__.py:1908(_by_version_descending)
       27    0.002    0.000    0.078    0.003 {built-in method builtins.sorted}
      209    0.002    0.000    0.077    0.000 Image.py:1738(resize)
        1    0.000    0.000    0.076    0.076 __init__.py:25(<module>)
     7246    0.024    0.000    0.073    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
      232    0.003    0.000    0.072    0.000 __init__.py:2457(from_location)
      204    0.006    0.000    0.072    0.000 __init__.py:387(step)
      209    0.071    0.000    0.071    0.000 {method 'resize' of 'ImagingCore' objects}
        1    0.000    0.000    0.067    0.067 utils.py:9(<module>)
8640/8284    0.015    0.000    0.066    0.000 {built-in method builtins.hasattr}
      504    0.004    0.000    0.064    0.000 writer.py:323(add_scalar)
      232    0.001    0.000    0.059    0.000 __init__.py:1923(_by_version)
        1    0.000    0.000    0.059    0.059 _internal_utils.py:9(<module>)
        3    0.000    0.000    0.058    0.019 platform.py:1059(system)
        3    0.000    0.000    0.058    0.019 platform.py:921(uname)
        1    0.000    0.000    0.058    0.058 compat.py:9(<module>)
        1    0.000    0.000    0.058    0.058 platform.py:778(_syscmd_uname)
     4689    0.021    0.000    0.056    0.000 enum.py:803(__and__)
      232    0.002    0.000    0.054    0.000 __init__.py:1929(<listcomp>)
      756    0.003    0.000    0.052    0.000 version.py:24(parse)
       53    0.000    0.000    0.052    0.001 <frozen importlib._bootstrap>:861(_find_spec_legacy)
       21    0.000    0.000    0.052    0.002 <frozen importlib._bootstrap>:433(spec_from_loader)
    10094    0.019    0.000    0.052    0.000 enum.py:267(__call__)
        1    0.007    0.007    0.052    0.052 {built-in method torch._C._initExtension}
        8    0.000    0.000    0.051    0.006 six.py:209(is_package)
        7    0.000    0.000    0.051    0.007 six.py:114(_resolve)
       11    0.000    0.000    0.051    0.005 six.py:80(_import_module)
        1    0.000    0.000    0.051    0.051 __init__.py:72(<module>)
        1    0.000    0.000    0.051    0.051 six.py:117(__getattr__)
      101    0.000    0.000    0.051    0.001 __init__.py:3113(<genexpr>)
        2    0.000    0.000    0.050    0.025 __init__.py:45(<module>)
      100    0.001    0.000    0.050    0.001 __init__.py:2628(activate)
      418    0.050    0.000    0.050    0.000 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.049    0.049 specifiers.py:4(<module>)
     1524    0.034    0.000    0.046    0.000 {built-in method numpy.core.multiarray.array}
    14612    0.028    0.000    0.046    0.000 sre_parse.py:253(get)
34538/34537    0.039    0.000    0.045    0.000 {built-in method builtins.isinstance}
     1272    0.045    0.000    0.045    0.000 {method 'blit' of 'pygame.Surface' objects}
     1624    0.005    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
      168    0.001    0.000    0.044    0.000 DQNAgent.py:38(sample)
        4    0.000    0.000    0.044    0.011 __init__.py:15(<module>)
